日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,216.2174,225.0426,216.2174,225.0426
2016-08-10,0,1000000.0,214.6004,223.35959,214.6004,223.35959
2016-08-11,0,1000000.0,210.259,218.841,210.259,218.841
2016-08-12,0,1000000.0,210.9254,219.53459,210.9254,219.53459
2016-08-15,0,1000000.0,209.7984,218.3616,209.7984,218.3616
2016-08-16,0,1000000.0,207.33861,215.8014,207.33861,215.8014
2016-08-17,0,1000000.0,209.69061,218.24939,209.69061,218.24939
2016-08-18,0,1000000.0,210.063,218.63701,210.063,218.63701
2016-08-19,0,1000000.0,207.662,216.13799,207.662,216.13799
2016-08-22,0,1000000.0,208.2402,216.7398,208.2402,216.7398
2016-08-23,0,1000000.0,207.7306,216.2094,207.7306,216.2094
2016-08-24,0,1000000.0,209.95522,218.5248,209.95522,218.5248
2016-08-25,0,1000000.0,211.23901,219.861,211.23901,219.861
2016-08-26,0,1000000.0,209.4848,218.03519,209.4848,218.03519
2016-08-29,0,1000000.0,211.3762,220.0038,211.3762,220.0038
2016-08-30,0,1000000.0,211.582,220.21799,211.582,220.21799
2016-08-31,0,1000000.0,211.1606,219.7794,211.1606,219.7794
2016-09-01,0,1000000.0,211.69962,220.3404,211.69962,220.3404
2016-09-02,0,1000000.0,212.3562,221.0238,212.3562,221.0238
2016-09-06,0,1000000.0,213.79681,222.5232,213.79681,222.5232
2016-09-07,0,1000000.0,214.571,223.329,214.571,223.329
2016-09-08,0,1000000.0,212.7482,221.4318,212.7482,221.4318
2016-09-09,0,1000000.0,205.702,214.09799,205.702,214.09799
2016-09-12,0,1000000.0,208.03441,216.52559,208.03441,216.52559
2016-09-13,0,1000000.0,202.7816,211.0584,202.7816,211.0584
2016-09-14,0,1000000.0,203.6244,211.9356,203.6244,211.9356
2016-09-15,0,1000000.0,203.7518,212.0682,203.7518,212.0682
2016-09-16,0,1000000.0,204.5554,212.90459,204.5554,212.90459
2016-09-19,0,1000000.0,205.3982,213.7818,205.3982,213.7818
